Country,Indicator,Source,Unit,Currency,Frequency,Country Code,Time,Amount,Amount_numeric,Year,Month,Quarter,Unit_key,Unit_category,Unit_multiplier,Amount_standardised,Amount_fraction,is_duplicate
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-01-01,-459449,-459449.0,2021.0,1.0,1.0,million,currency_billions,0.001,-459.449,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-01-01,-477486,-477486.0,2022.0,1.0,1.0,million,currency_billions,0.001,-477.486,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-01-01,-580182,-580182.0,2023.0,1.0,1.0,million,currency_billions,0.001,-580.182,,True
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2006-07-01,-962,-962.0,2006.0,7.0,3.0,million,currency_billions,0.001,-0.962,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2006-10-01,-11097,-11097.0,2006.0,10.0,4.0,million,currency_billions,0.001,-11.097,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-04-01,-56213,-56213.0,2007.0,4.0,2.0,million,currency_billions,0.001,-56.213,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-07-01,-20267,-20267.0,2007.0,7.0,3.0,million,currency_billions,0.001,-20.267,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2007-10-01,-35830,-35830.0,2007.0,10.0,4.0,million,currency_billions,0.001,-35.83,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-04-01,-67563,-67563.0,2008.0,4.0,2.0,million,currency_billions,0.001,-67.563,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-07-01,-25065,-25065.0,2008.0,7.0,3.0,million,currency_billions,0.001,-25.065,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2008-10-01,-38512,-38512.0,2008.0,10.0,4.0,million,currency_billions,0.001,-38.512,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-04-01,-72379,-72379.0,2009.0,4.0,2.0,million,currency_billions,0.001,-72.379,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-07-01,-37176,-37176.0,2009.0,7.0,3.0,million,currency_billions,0.001,-37.176,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2009-10-01,-58658,-58658.0,2009.0,10.0,4.0,million,currency_billions,0.001,-58.658,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-04-01,-98886,-98886.0,2010.0,4.0,2.0,million,currency_billions,0.001,-98.886,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-07-01,-38172,-38172.0,2010.0,7.0,3.0,million,currency_billions,0.001,-38.172000000000004,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2010-10-01,-56703,-56703.0,2010.0,10.0,4.0,million,currency_billions,0.001,-56.703,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-04-01,-134138,-134138.0,2011.0,4.0,2.0,million,currency_billions,0.001,-134.138,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-07-01,-46603.42,-46603.42,2011.0,7.0,3.0,million,currency_billions,0.001,-46.60342,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2011-10-01,-74725,-74725.0,2011.0,10.0,4.0,million,currency_billions,0.001,-74.72500000000001,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-04-01,-165689,-165689.0,2012.0,4.0,2.0,million,currency_billions,0.001,-165.689,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-07-01,-58499,-58499.0,2012.0,7.0,3.0,million,currency_billions,0.001,-58.499,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2012-10-01,-95120,-95120.0,2012.0,10.0,4.0,million,currency_billions,0.001,-95.12,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-04-01,-246853,-246853.0,2013.0,4.0,2.0,million,currency_billions,0.001,-246.853,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-07-01,-60756,-60756.0,2013.0,7.0,3.0,million,currency_billions,0.001,-60.756,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2013-10-01,-94485,-94485.0,2013.0,10.0,4.0,million,currency_billions,0.001,-94.485,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-04-01,-254715,-254715.0,2014.0,4.0,2.0,million,currency_billions,0.001,-254.715,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-07-01,-81544,-81544.0,2014.0,7.0,3.0,million,currency_billions,0.001,-81.544,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2014-10-01,-146318,-146318.0,2014.0,10.0,4.0,million,currency_billions,0.001,-146.318,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-04-01,-284314,-284314.0,2015.0,4.0,2.0,million,currency_billions,0.001,-284.314,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-07-01,-75640,-75640.0,2015.0,7.0,3.0,million,currency_billions,0.001,-75.64,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2015-10-01,-164551,-164551.0,2015.0,10.0,4.0,million,currency_billions,0.001,-164.55100000000002,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-04-01,,,2016.0,4.0,2.0,million,currency_billions,0.001,,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-07-01,,,2016.0,7.0,3.0,million,currency_billions,0.001,,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2016-10-01,,,2016.0,10.0,4.0,million,currency_billions,0.001,,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-04-01,-366401,-366401.0,2017.0,4.0,2.0,million,currency_billions,0.001,-366.401,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-07-01,-101134,-101134.0,2017.0,7.0,3.0,million,currency_billions,0.001,-101.134,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2017-10-01,-201762,-201762.0,2017.0,10.0,4.0,million,currency_billions,0.001,-201.762,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-04-01,-425385,-425385.0,2018.0,4.0,2.0,million,currency_billions,0.001,-425.385,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-07-01,,,2018.0,7.0,3.0,million,currency_billions,0.001,,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2018-10-01,-206271,-206271.0,2018.0,10.0,4.0,million,currency_billions,0.001,-206.27100000000002,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-04-01,-423019,-423019.0,2019.0,4.0,2.0,million,currency_billions,0.001,-423.019,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-07-01,-126189,-126189.0,2019.0,7.0,3.0,million,currency_billions,0.001,-126.18900000000001,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2019-10-01,-194626,-194626.0,2019.0,10.0,4.0,million,currency_billions,0.001,-194.626,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-04-01,-408509,-408509.0,2020.0,4.0,2.0,million,currency_billions,0.001,-408.509,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-07-01,-144732,-144732.0,2020.0,7.0,3.0,million,currency_billions,0.001,-144.732,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2020-10-01,-243544,-243544.0,2020.0,10.0,4.0,million,currency_billions,0.001,-243.544,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-04-01,-459449,-459449.0,2021.0,4.0,2.0,million,currency_billions,0.001,-459.449,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-07-01,-157617,-157617.0,2021.0,7.0,3.0,million,currency_billions,0.001,-157.617,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2021-10-01,-250225,-250225.0,2021.0,10.0,4.0,million,currency_billions,0.001,-250.225,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-04-01,-477486,-477486.0,2022.0,4.0,2.0,million,currency_billions,0.001,-477.486,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-07-01,-145891,-145891.0,2022.0,7.0,3.0,million,currency_billions,0.001,-145.891,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2022-10-01,-325260,-325260.0,2022.0,10.0,4.0,million,currency_billions,0.001,-325.26,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-04-01,-580182,-580182.0,2023.0,4.0,2.0,million,currency_billions,0.001,-580.182,,False
Egypt,Budget Deficit/Surplus,Central Bank of Egypt,Million,EGP,Yearly,EGY,2023-07-01,-414431,-414431.0,2023.0,7.0,3.0,million,currency_billions,0.001,-414.431,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2015-01-01,-30882.1,-30882.1,2015.0,1.0,1.0,millions,currency_billions,0.001,-30.882099999999998,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2016-01-01,-36073.4,-36073.4,2016.0,1.0,1.0,millions,currency_billions,0.001,-36.0734,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2017-01-01,-59444,-59444.0,2017.0,1.0,1.0,millions,currency_billions,0.001,-59.444,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2018-01-01,-66643.2,-66643.2,2018.0,1.0,1.0,millions,currency_billions,0.001,-66.6432,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2019-01-01,-68169.2,-68169.2,2019.0,1.0,1.0,millions,currency_billions,0.001,-68.1692,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2020-01-01,-93277.4,-93277.4,2020.0,1.0,1.0,millions,currency_billions,0.001,-93.2774,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2021-01-01,-120118.5,-120118.5,2021.0,1.0,1.0,millions,currency_billions,0.001,-120.1185,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2022-01-01,-212345.4,-212345.4,2022.0,1.0,1.0,millions,currency_billions,0.001,-212.3454,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2023-01-01,-221184.9,-221184.9,2023.0,1.0,1.0,millions,currency_billions,0.001,-221.1849,,False
Ethiopia,Budget Deficit/Surplus,National Bank of Ethiopia,Millions,ETB,Yearly,ETH,2024-01-01,-246950.7,-246950.7,2024.0,1.0,1.0,millions,currency_billions,0.001,-246.9507,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-01-01,-329.9,-329.9,2012.0,1.0,1.0,million,currency_billions,0.001,-0.32989999999999997,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-02-01,-186,-186.0,2012.0,2.0,1.0,million,currency_billions,0.001,-0.186,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-03-01,119.3,119.3,2012.0,3.0,1.0,million,currency_billions,0.001,0.1193,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-04-01,-224.1,-224.1,2012.0,4.0,2.0,million,currency_billions,0.001,-0.2241,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-05-01,-155,-155.0,2012.0,5.0,2.0,million,currency_billions,0.001,-0.155,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-06-01,-137.4,-137.4,2012.0,6.0,2.0,million,currency_billions,0.001,-0.13740000000000002,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-07-01,-391.2,-391.2,2012.0,7.0,3.0,million,currency_billions,0.001,-0.3912,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-08-01,-241.1,-241.1,2012.0,8.0,3.0,million,currency_billions,0.001,-0.2411,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-09-01,-555.9,-555.9,2012.0,9.0,3.0,million,currency_billions,0.001,-0.5559,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-10-01,-612.9,-612.9,2012.0,10.0,4.0,million,currency_billions,0.001,-0.6129,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-11-01,-1987.1,-1987.1,2012.0,11.0,4.0,million,currency_billions,0.001,-1.9870999999999999,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2012-12-01,425.1,425.1,2012.0,12.0,4.0,million,currency_billions,0.001,0.42510000000000003,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-01-01,-590,-590.0,2013.0,1.0,1.0,million,currency_billions,0.001,-0.59,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-02-01,38.6,38.6,2013.0,2.0,1.0,million,currency_billions,0.001,0.0386,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-03-01,165,165.0,2013.0,3.0,1.0,million,currency_billions,0.001,0.165,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-04-01,-258.8,-258.8,2013.0,4.0,2.0,million,currency_billions,0.001,-0.25880000000000003,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-05-01,-484.9,-484.9,2013.0,5.0,2.0,million,currency_billions,0.001,-0.4849,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-06-01,11.6,11.6,2013.0,6.0,2.0,million,currency_billions,0.001,0.0116,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-07-01,-1501.6,-1501.6,2013.0,7.0,3.0,million,currency_billions,0.001,-1.5016,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-08-01,-1159.7,-1159.7,2013.0,8.0,3.0,million,currency_billions,0.001,-1.1597000000000002,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-09-01,-808.8,-808.8,2013.0,9.0,3.0,million,currency_billions,0.001,-0.8088,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-10-01,-1285.2,-1285.2,2013.0,10.0,4.0,million,currency_billions,0.001,-1.2852000000000001,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-11-01,-4588.7,-4588.7,2013.0,11.0,4.0,million,currency_billions,0.001,-4.5887,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2013-12-01,-1104.4,-1104.4,2013.0,12.0,4.0,million,currency_billions,0.001,-1.1044,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-01-01,-250.5,-250.5,2014.0,1.0,1.0,million,currency_billions,0.001,-0.2505,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-02-01,21.5,21.5,2014.0,2.0,1.0,million,currency_billions,0.001,0.021500000000000002,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-03-01,-107.4,-107.4,2014.0,3.0,1.0,million,currency_billions,0.001,-0.10740000000000001,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-04-01,-673.9,-673.9,2014.0,4.0,2.0,million,currency_billions,0.001,-0.6738999999999999,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-05-01,-886.2,-886.2,2014.0,5.0,2.0,million,currency_billions,0.001,-0.8862000000000001,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-06-01,-544.6,-544.6,2014.0,6.0,2.0,million,currency_billions,0.001,-0.5446000000000001,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-07-01,-857.4,-857.4,2014.0,7.0,3.0,million,currency_billions,0.001,-0.8573999999999999,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-08-01,-332.6,-332.6,2014.0,8.0,3.0,million,currency_billions,0.001,-0.3326,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-09-01,-585.8,-585.8,2014.0,9.0,3.0,million,currency_billions,0.001,-0.5858,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-10-01,-944.6,-944.6,2014.0,10.0,4.0,million,currency_billions,0.001,-0.9446,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-11-01,-507.9,-507.9,2014.0,11.0,4.0,million,currency_billions,0.001,-0.5079,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2014-12-01,-1547.4,-1547.4,2014.0,12.0,4.0,million,currency_billions,0.001,-1.5474,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-01-01,-927.8,-927.8,2015.0,1.0,1.0,million,currency_billions,0.001,-0.9278,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-02-01,-619.5,-619.5,2015.0,2.0,1.0,million,currency_billions,0.001,-0.6195,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-03-01,507.8,507.8,2015.0,3.0,1.0,million,currency_billions,0.001,0.5078,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-04-01,-1196.7,-1196.7,2015.0,4.0,2.0,million,currency_billions,0.001,-1.1967,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-05-01,-161.1,-161.1,2015.0,5.0,2.0,million,currency_billions,0.001,-0.1611,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-06-01,337,337.0,2015.0,6.0,2.0,million,currency_billions,0.001,0.337,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-07-01,-278.9,-278.9,2015.0,7.0,3.0,million,currency_billions,0.001,-0.2789,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-08-01,-1580.4,-1580.4,2015.0,8.0,3.0,million,currency_billions,0.001,-1.5804,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-09-01,-429.4,-429.4,2015.0,9.0,3.0,million,currency_billions,0.001,-0.4294,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-10-01,-289.3,-289.3,2015.0,10.0,4.0,million,currency_billions,0.001,-0.2893,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-11-01,135.3,135.3,2015.0,11.0,4.0,million,currency_billions,0.001,0.1353,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2015-12-01,-1813.3,-1813.3,2015.0,12.0,4.0,million,currency_billions,0.001,-1.8133,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-01-01,-368.6,-368.6,2016.0,1.0,1.0,million,currency_billions,0.001,-0.36860000000000004,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-02-01,-726.5,-726.5,2016.0,2.0,1.0,million,currency_billions,0.001,-0.7265,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-03-01,-1205.1,-1205.1,2016.0,3.0,1.0,million,currency_billions,0.001,-1.2050999999999998,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-04-01,-395,-395.0,2016.0,4.0,2.0,million,currency_billions,0.001,-0.395,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-05-01,-1081.1,-1081.1,2016.0,5.0,2.0,million,currency_billions,0.001,-1.0811,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-06-01,-1172.8,-1172.8,2016.0,6.0,2.0,million,currency_billions,0.001,-1.1728,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-07-01,-1474.4,-1474.4,2016.0,7.0,3.0,million,currency_billions,0.001,-1.4744000000000002,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-08-01,-1419.8,-1419.8,2016.0,8.0,3.0,million,currency_billions,0.001,-1.4198,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-09-01,-1839.3,-1839.3,2016.0,9.0,3.0,million,currency_billions,0.001,-1.8393,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-10-01,-1148,-1148.0,2016.0,10.0,4.0,million,currency_billions,0.001,-1.1480000000000001,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-11-01,-1902.7,-1902.7,2016.0,11.0,4.0,million,currency_billions,0.001,-1.9027,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2016-12-01,-4713.6,-4713.6,2016.0,12.0,4.0,million,currency_billions,0.001,-4.7136000000000005,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-01-01,-410.5,-410.5,2017.0,1.0,1.0,million,currency_billions,0.001,-0.41050000000000003,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-02-01,-271.8,-271.8,2017.0,2.0,1.0,million,currency_billions,0.001,-0.27180000000000004,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-03-01,-660.3,-660.3,2017.0,3.0,1.0,million,currency_billions,0.001,-0.6603,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-04-01,-772,-772.0,2017.0,4.0,2.0,million,currency_billions,0.001,-0.772,,False
Ghana,Budget Deficit/Surplus,Bank of Ghana,Million,GHS,Monthly,GHA,2017-05-01,-2018.7,-2018.7,2017.0,5.0,2.0,million,currency_billions,0.001,-2.0187,,False
